hash,symbol,desc,dt,attchmntFile,sm_name,sm_isin,an_dt,sort_date,seq_id,smIndustry,orgid,attchmntText,bflag,old_new,csvName,exchdisstime,difference
822394a727fb8a33ed339a971723173d,VERANDA,Updates,04052024105110,https://nsearchives.nseindia.com/corporate/VERANDA_04052024105110_Registeredofficechangeintimation.pdf,Veranda Learning Solutions Limited,INE0IQ001011,2024-05-04 10:51:10,2024-05-04 10:51:10,,,,Veranda Learning Solutions Limited has informed the Exchange regarding 'Intimation of Change in the address of the registered office of the Company'.,,,,04-May-2024 10:51:15,00:00:05
1641781d14c11f64371eba82cb585f64,WEIZMANIND,Loss of Share Certificates,04052024110003,https://nsearchives.nseindia.com/corporate/WEIZMANIND_04052024110003_HARBANSDUP.pdf,Weizmann Limited,INE080A01014,2024-05-04 11:00:03,2024-05-04 11:00:03,,Textile Products,,Weizmann Limited has informed the Exchange about Loss of Share Certificates,,,,04-May-2024 11:00:08,00:00:05
aa6b2e4ff2cc724a318a95a17af2caac,WEIZMANIND,Loss of Share Certificates,04052024110218,https://nsearchives.nseindia.com/corporate/WEIZMANIND_04052024110218_SHIVASHANKARDUP.pdf,Weizmann Limited,INE080A01014,2024-05-04 11:02:18,2024-05-04 11:02:18,,Textile Products,,Weizmann Limited has informed the Exchange about Loss of Share Certificates,,,,04-May-2024 11:02:23,00:00:05
f44266a30bff974ce3c6a4eb4601cd93,MMFL,Scheme of Arrangement,04052024110320,https://nsearchives.nseindia.com/corporate/MMFL_04052024110320_MMFNCLTOrder.pdf,MM Forgings Limited,INE227C01017,2024-05-04 11:03:20,2024-05-04 11:03:20,,Castings/Forgings,,"MM Forgings Limited has informed the Exchange about the pronouncement of Order by NCLT, Chennai bench approving the amalgamation of Cafoma Autoparts Private Limited, Wholly owned subsdiary with MM Forgings Limited Holding Company.",,,,04-May-2024 11:03:25,00:00:05
778e02c804a490542136dd9eec769491,WEIZMANIND,Loss/Duplicate-Share Certificate-XBRL,04052024110400,https://nsearchives.nseindia.com/corporate/xbrl/WEIZMANIND_04052024110400_LOSS_OF_SHARE_1115218_04052024110400_WEB.xml,Weizmann Limited,INE080A01014,2024-05-04 11:04:00,2024-05-04 11:04:00,,Textile Products,,WEIZMANN LIMITED has informed the Exchange about Issue of duplicate share certificates/Letter of Confirmation,,,,04-May-2024 11:04:05,00:00:05
17ea38356dea94fccba676a5906da051,WSI,Shareholders meeting,04052024110810,https://nsearchives.nseindia.com/corporate/WSI_04052024110810_WSI_EGM_Results_Scrutinizer_Report_04052024_SD.pdf,W S Industries (I) Limited,INE100D01014,2024-05-04 11:08:10,2024-05-04 11:08:10,,Electrical Equipment,,"W S Industries (I) Limited has submitted the Exchange a copy Srutinizers report of  Extraordinary General Meeting held on May 02, 2024. Further, the company has informed the Exchange regarding voting results.",,,,04-May-2024 11:08:14,00:00:04
ae8ec5efd5a914bdec5b01ce6a9ad8c3,HUBTOWN,Allotment of Securities,04052024111537,https://nsearchives.nseindia.com/corporate/HUBTOWN_04052024111537_Reg30Allotmentof20NCDs.pdf,Hubtown Limited,INE703H01016,2024-05-04 11:15:37,2024-05-04 11:15:37,,Construction,,"Hubtown Limited has informed the Exchange that pursuant to Regulation 30 of the SEBI LODR, 2015 the Board of Directors has approved the allotment of 20 Non-Convertible Debentures vide resolution passed by circulation on May 04, 2024",,,,04-May-2024 11:15:42,00:00:05
3e586f32b73ef880aa116d0dfc78fd36,WINSOME,Updates,04052024111719,https://nsearchives.nseindia.com/corporate/WINSOME_04052024111719_Intimation_04052024.pdf,Winsome Yarns Limited,INE784B01035,2024-05-04 11:17:19,2024-05-04 11:17:19,,Textiles - Cotton,,"Winsome Yarns Limited has informed the Exchange regarding 'Intimation for cancellation of meeting of  Committee of Creditors (COC), which was to be held on 03.05.2024.'.",,,,04-May-2024 11:17:24,00:00:05
cb305e7405959fefbb14477dd7431a39,SUMIT,Updates,04052024112159,https://nsearchives.nseindia.com/corporate/SUMIT_04052024112159_NSE.pdf,Sumit Woods Limited,INE748Z01013,2024-05-04 11:21:59,2024-05-04 11:21:59,,,,"Sumit Woods Limited has informed the Exchange regarding 'Intimation under Regulation 30 SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 ( SEBI Listing Regulations )'.",,,,04-May-2024 11:22:04,00:00:05
5bed67e65fc8439223ad7a9e998f150a,ENIL,Analysts/Institutional Investor Meet/Con. Call Updates,04052024112353,https://nsearchives.nseindia.com/corporate/ENIL_04052024112353_ENILInvestorsPresentation.pdf,Entertainment Network (India) Limited,INE265F01028,2024-05-04 11:23:53,2024-05-04 11:23:53,,Media & Entertainment,,Entertainment Network (India) Limited has informed the Exchange about Presentation,,,,04-May-2024 11:23:57,00:00:04
0566e7c9e4011c206a4ad3a657da2ead,AMBER,Acquisition,04052024112439,https://nsearchives.nseindia.com/corporate/AMBER_04052024112439_SEJV04052024.pdf,Amber Enterprises India Limited,INE371P01015,2024-05-04 11:24:39,2024-05-04 11:24:39,,,,"Amber Enterprises India Limited has informed the Exchange about Acquisition of 50% stake  through primary investment in equity share capital of Resojet Private Limited  - A part of LCGC Resolute Group, Hyderabad,  on 04.05.2024",,,,04-May-2024 11:24:44,00:00:05
4483363ac3186e3eae3e85f2dedf05e7,KECL,Price movement,04052024112800,https://nsearchives.nseindia.com/corporate/KECL_04052024112805_Clarification_Price_Movement_SGD.pdf,Kirloskar Electric Company Limited,INE134B01017,2024-05-04 11:28:00,2024-05-04 11:28:00,,Power,,"Significant movement in price has been observed in Kirloskar Electric Company Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so that the interest of the investors is safeguarded, had written to the company. Kirloskar Electric Company Limited has submitted their response.",,,,04-May-2024 11:28:10,00:00:10
08a8740f8175812ea4b518b6b961f283,RAIN,Loss of Share Certificates,04052024112934,https://nsearchives.nseindia.com/corporate/RAIN_04052024112934_IntimationOfLossOfShares.pdf,Rain Industries Limited,INE855B01025,2024-05-04 11:29:34,2024-05-04 11:29:34,,,,Rain Industries Limited has informed the Exchange about Loss of Share Certificates,,,,04-May-2024 11:29:39,00:00:05
09afb57d1ec1fce9edb9bfe75f576811,RAIN,Loss/Duplicate-Share Certificate-XBRL,04052024113141,https://nsearchives.nseindia.com/corporate/xbrl/RAIN_04052024113141_LOSS_OF_SHARE_1115223_04052024113140_WEB.xml,Rain Industries Limited,INE855B01025,2024-05-04 11:31:41,2024-05-04 11:31:41,,,,RAIN INDUSTRIES LIMITED has informed the Exchange about Loss of share certificates,,,,04-May-2024 11:31:45,00:00:04
8417540c17bf3f67a8483f4cd8a7237e,UJJIVANSFB,Appointment,04052024113148,https://nsearchives.nseindia.com/corporate/UJJIVANSFB_04052024113149_12_RBI_Approval_MD_04052024.pdf,Ujjivan Small Finance Bank Limited,INE551W01018,2024-05-04 11:31:48,2024-05-04 11:31:48,,,,"Ujjivan Small Finance Bank Limited has informed the Exchange regarding Appointment of Mr Sanjeev Nautiyal as Managing Director & CEO of the company w.e.f. July 01, 2024.",,,,04-May-2024 11:31:54,00:00:06
bc43502e4164ea92d47a0abebc4b4181,IGL,Updates,04052024113312,https://nsearchives.nseindia.com/corporate/IGL_04052024113312_SELetterinviteelink04052024.pdf,Indraprastha Gas Limited,INE203G01019,2024-05-04 11:33:12,2024-05-04 11:33:12,,Gas,,Indraprastha Gas Limited has informed the Exchange regarding 'Conference Call   event link for attendees'.,,,,04-May-2024 11:33:20,00:00:08
1f262675c89a9fd2f4fb665fdac27bb0,AWL,Updates,04052024113423,https://nsearchives.nseindia.com/corporate/AWL_04052024113423_SEIntimationReg30.pdf,AWL Agri Business Limited,INE699H01024,2024-05-04 11:34:23,2024-05-04 11:34:23,,,,Adani Wilmar Limited has informed the Exchange regarding 'Disclosure pursuant to Regulation 30 of SEBI LODR'.,,,,04-May-2024 11:34:27,00:00:04
5425972b87b21649528b41f02dd186ff,LT,Loss of Share Certificates,04052024113428,https://nsearchives.nseindia.com/corporate/LT_04052024113428_Dup20220304052024.pdf,Larsen & Toubro Limited,INE018A01030,2024-05-04 11:34:28,2024-05-04 11:34:28,,Engineering,,Larsen & Toubro Limited has informed the Exchange about Loss of Share Certificates,,,,04-May-2024 11:34:37,00:00:09
00495584aefbcdc81cbab24ed395c362,AARTIPHARM,Board Meeting Intimation,04052024113501,https://nsearchives.nseindia.com/corporate/xbrl/AARTIPHARM_04052024113501_PRIOR_INTIMATION_23422_1115228_04052024113501_WEB.xml,Aarti Pharmalabs Limited,INE0LRU01027,2024-05-04 11:35:01,2024-05-04 11:35:01,,,,AARTI PHARMALABS LIMITED has informed the Exchange about Board Meeting to be held on 13-May-2024 to consider and approve the Yearly Audited Financial results of the Company for the period ended March 2024 and Dividend/Other business.,,,,04-May-2024 11:35:06,00:00:05
3459b30a5db802247c72612896103070,LT,Loss/Duplicate-Share Certificate-XBRL,04052024113540,https://nsearchives.nseindia.com/corporate/xbrl/LT_04052024113540_LOSS_OF_SHARE_1115229_04052024113539_WEB.xml,Larsen & Toubro Limited,INE018A01030,2024-05-04 11:35:40,2024-05-04 11:35:40,,Engineering,,LARSEN & TOUBRO LIMITED has informed the Exchange about Loss of share certificates,,,,04-May-2024 11:35:45,00:00:05
e166705f38d993cc0e82d59417cb7b81,GODREJPROP,Copy of Newspaper Publication,04052024113545,https://nsearchives.nseindia.com/corporate/GODREJPROP_04052024113545_SEIntimationNewspaper.pdf,Godrej Properties Limited,INE484J01019,2024-05-04 11:35:45,2024-05-04 11:35:45,,Construction,,Godrej Properties Limited has informed the Exchange about Copy of Newspaper Publication,,,,04-May-2024 11:35:54,00:00:09
483db6af9ce0fd329ca88704ef4e3a21,TATATECH,Copy of Newspaper Publication,04052024114228,https://nsearchives.nseindia.com/corporate/TATATECH_04052024114228_AdvtFinancialsQ4signed.pdf,Tata Technologies Limited,INE142M01025,2024-05-04 11:42:28,2024-05-04 11:42:28,,,,"Tata Technologies Limited has informed the Exchange about Copy of Newspaper Publication for Audited Financial Results for quarter and financial year ended March 31, 2024",,,,04-May-2024 11:42:33,00:00:05
193a918a410a83d6fb26e5199675635f,PCBL,Loss/Duplicate-Share Certificate-XBRL,04052024114407,https://nsearchives.nseindia.com/corporate/xbrl/PCBL_04052024114407_LOSS_OF_SHARE_1115233_04052024114406_WEB.xml,PCBL Chemical Limited,INE602A01023,2024-05-04 11:44:07,2024-05-04 11:44:07,,,,PCBL Limited has informed the Exchange about Loss of share certificates,,,,04-May-2024 11:44:11,00:00:04
e4e00417b8f502d2b3207be5331d6c92,UJJIVANSFB,Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,04052024114952,https://nsearchives.nseindia.com/corporate/xbrl/UJJIVANSFB_04052024114952_CIM_23423_1115235_04052024114951_WEB.xml,Ujjivan Small Finance Bank Limited,INE551W01018,2024-05-04 11:49:52,2024-05-04 11:49:52,,,,UJJIVAN SMALL FINANCE BANK LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,,,,04-May-2024 11:49:57,00:00:05
abd73f6fcf6b1c0441a5889d5c6c928a,AIAENG,Board Meeting Intimation,04052024115041,https://nsearchives.nseindia.com/corporate/xbrl/AIAENG_04052024115041_PRIOR_INTIMATION_23424_1115237_04052024115040_WEB.xml,AIA Engineering Limited,INE212H01026,2024-05-04 11:50:41,2024-05-04 11:50:41,,Electrical Equipment,,AIA ENGINEERING LIMITED has informed the Exchange about Board Meeting to be held on 14-May-2024 to consider and approve the Yearly Audited Financial results of the Company for the period ended March 2024 and Dividend.,,,,04-May-2024 11:50:45,00:00:04
b7afb3576ff45cee337d082c89bc3131,PATANJALI,Board Meeting Intimation,04052024115502,https://nsearchives.nseindia.com/corporate/xbrl/PATANJALI_04052024115502_PRIOR_INTIMATION_23425_1115239_04052024115501_WEB.xml,Patanjali Foods Limited,INE619A01035,2024-05-04 11:55:02,2024-05-04 11:55:02,,,,PATANJALI FOODS LIMITED has informed the Exchange about Board Meeting to be held on 14-May-2024 to inter-alia consider and approve the Audited Financial results of the Company for the Yearly ended March 2024 .,,,,04-May-2024 11:55:06,00:00:04
f277f18fb0ab6fc603d9ff2fd2528f78,BHARTIHEXA,Updates,04052024115658,https://nsearchives.nseindia.com/corporate/BHARTIHEXA_04052024115658_BHLReg30_04052024.pdf,Bharti Hexacom Limited,INE343G01021,2024-05-04 11:56:58,2024-05-04 11:56:58,,,,"Bharti Hexacom Limited has informed the Exchange regarding 'Disclosure under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 ( SEBI Listing Regulations )'.",,,,04-May-2024 11:57:04,00:00:06
d98dd3c708edbd0daa5fb40f8fc153ff,GTECJAINX,Board Meeting Adjourned,04052024120224,https://nsearchives.nseindia.com/corporate/GTECJAINX_04052024120224_AdjournmentofBM16052024.pdf,G-TEC JAINX EDUCATION LIMITED,INE586X01012,2024-05-04 12:02:24,2024-05-04 12:02:24,,,,"The board meeting shall be adjourned to Thursday, May 16, 2024 (instead of May 07, 2024) through Other Audio Visual means ( OAVM ) at 3:00 P.M",,,,04-May-2024 12:02:30,00:00:06
a11ecad0b3759535c386686d9ce79ba2,GTECJAINX,Board Meeting Intimation,04052024120848,https://nsearchives.nseindia.com/corporate/xbrl/GTECJAINX_04052024120848_PRIOR_INTIMATION_23426_1115242_04052024120847_WEB.xml,G-TEC JAINX EDUCATION LIMITED,INE586X01012,2024-05-04 12:08:48,2024-05-04 12:08:48,,,,G-TEC JAINX EDUCATION LIMITED has informed the Exchange about Board Meeting to be held on 16-May-2024 to inter-alia consider and approve the Audited Financial results of the Company for the Yearly ended March 2024 .,,,,04-May-2024 12:08:53,00:00:05
b1ca564acad211a3e6912296430b771d,ANUP,Financial Result Updates,04052024120913,https://nsearchives.nseindia.com/corporate/ResultsQ4andFY24_04052024120913.pdf,The Anup Engineering Limited,INE294Z01018,2024-05-04 12:09:13,2024-05-04 12:09:13,,,,"The Anup Engineering Limited has submitted to the Exchange, the financial results for the period ended March 31, 2024.",,,,04-May-2024 12:09:19,00:00:06
481332ec8db5e8e13bfc22725c4d101e,ANUP,Dividend,04052024121509,https://nsearchives.nseindia.com/corporate/ANUP_04052024121509_OutCome04052024.pdf,The Anup Engineering Limited,INE294Z01018,2024-05-04 12:15:09,2024-05-04 12:15:09,,,,"The Anup Engineering Limited has informed the Exchange that Board of Directors at its meeting held on May 04, 2024, recommended final dividend of &#8377; 15/- per equity share and one-time special dividend of &#8377; 5/- per equity share, totaling to a dividend of &#8377; 20/- per equity share of face value of &#8377; 10/- each, for the financial year ended March 31, 2024 subject to the approval of shareholders at the ensuing Annual General Meeting (AGM).",,,,04-May-2024 12:15:14,00:00:05
68919f0f01fcacf76856ae79836b89d6,AURUM,Updates,04052024121525,https://nsearchives.nseindia.com/corporate/AURUM_04052024121526_SnapshotofResults.pdf,Aurum PropTech Limited,INE898S01029,2024-05-04 12:15:25,2024-05-04 12:15:25,,,,"Aurum PropTech Limited has informed the Exchange regarding 'Snapshot of Audited Financial Results for the Quarter and Year ended March 31, 2024.'.",,,,04-May-2024 12:15:30,00:00:05
8c22ca40f94d73f7b2c00ec854d3ece5,SOTL,Board Meeting Intimation,04052024121612,https://nsearchives.nseindia.com/corporate/xbrl/SOTL_04052024121612_PRIOR_INTIMATION_23427_1115244_04052024121612_WEB.xml,Savita Oil Technologies Limited,INE035D01012,2024-05-04 12:16:12,2024-05-04 12:16:12,,Lubricants,,SAVITA OIL TECHNOLOGIES LIMITED has informed the Exchange about Board Meeting to be held on 11-May-2024 to consider and approve the Yearly Audited Financial results of the Company for the period ended March 2024 and Dividend.,,,,04-May-2024 12:16:17,00:00:05
978aa005ac157c1f42dd35e99e42e80b,GRWRHITECH,Loss of Share Certificates,04052024121832,https://nsearchives.nseindia.com/corporate/GRWRHITECH_04052024121832_Regulation39.pdf,Garware Hi-Tech Films Limited,INE291A01017,2024-05-04 12:18:32,2024-05-04 12:18:32,,,,Garware Hi-Tech Films Limited has informed the Exchange about Loss of Share Certificates,,,,04-May-2024 12:18:37,00:00:05
86f99e5b5495f3d902b803709e772e70,GPIL,Shareholders meeting,04052024121919,https://nsearchives.nseindia.com/corporate/GPIL_04052024121920_GPILOUTCOMEEGM04052024.pdf,Godawari Power And Ispat limited,INE177H01013,2024-05-04 12:19:19,2024-05-04 12:19:19,,Steel And Steel Products,,"Godawari Power And Ispat limited has informed the Exchange regarding Proceedings of Extraordinary General Meeting held on May 04, 2024",,,,04-May-2024 12:19:25,00:00:06
5aa714c7e4b6ee7816ffb998baa7357b,RAMASTEEL,Copy of Newspaper Publication,04052024122001,https://nsearchives.nseindia.com/corporate/RAMASTEEL_04052024122001_SignedNewspaperPublication04052024.pdf,Rama Steel Tubes Limited,INE230R01019,2024-05-04 12:20:01,2024-05-04 12:20:01,,,,Rama Steel Tubes Limited has informed the Exchange about Copy of Newspaper Publication,,,,04-May-2024 12:20:06,00:00:05
c81576e64ecec1eecc2b31d1f1f0cd27,NRAIL,Loss of Share Certificates,04052024122030,https://nsearchives.nseindia.com/corporate/NRAIL_04052024122030_LossofShareCertificateMamtaJain04052024.pdf,N R Agarwal Industries Limited,INE740D01017,2024-05-04 12:20:30,2024-05-04 12:20:30,,,,"N R Agarwal Industries Limited has informed the Exchange about Loss of Share Certificate under Regulation 39(3) of SEBI (LODR), Regulations, 2015",,,,04-May-2024 12:20:35,00:00:05
182240bb5fe43faa5cb30127f7d875df,NRAIL,Loss/Duplicate-Share Certificate-XBRL,04052024122110,https://nsearchives.nseindia.com/corporate/xbrl/NRAIL_04052024122110_LOSS_OF_SHARE_1115245_04052024122109_WEB.xml,N R Agarwal Industries Limited,INE740D01017,2024-05-04 12:21:10,2024-05-04 12:21:10,,,,N R AGARWAL INDUSTRIES LIMITED has informed the Exchange about Loss of share certificates,,,,04-May-2024 12:21:14,00:00:04
26f06ea4a1a5ad79302e8f90abb65ebe,ICICIGI,Updates,04052024122241,https://nsearchives.nseindia.com/corporate/ICICIGI_04052024122241_NSEBSEINTIMATION.pdf,ICICI Lombard General Insurance Company Limited,INE765G01017,2024-05-04 12:22:41,2024-05-04 12:22:41,,,,"ICICI Lombard General Insurance Company Limited has informed the Exchange regarding 'Disclosure under Regulation 30 of SEBI (Listing Obligations andDisclosure Requirements) Regulations, 2015'.",,,,04-May-2024 12:22:47,00:00:06
4dc6f4e57cda4a9baa4e7c281c644fec,SUNPHARMA,Acquisition,04052024122332,https://nsearchives.nseindia.com/corporate/SUNPHARMA_04052024122332_SEIntimationforacquisition.pdf,Sun Pharmaceutical Industries Limited,INE044A01028,2024-05-04 12:23:32,2024-05-04 12:23:32,,Pharmaceuticals,,Sun Pharmaceutical Industries Limited has informed the Exchange about Acquisition,,,,04-May-2024 12:23:37,00:00:05
e21434dec83852ea6612342693d4ddd7,GRWRHITECH,Loss/Duplicate-Share Certificate-XBRL,04052024122338,https://nsearchives.nseindia.com/corporate/xbrl/GRWRHITECH_04052024122338_LOSS_OF_SHARE_1115246_04052024122337_WEB.xml,Garware Hi-Tech Films Limited,INE291A01017,2024-05-04 12:23:38,2024-05-04 12:23:38,,,,Garware Hi-Tech Films Limited has informed the Exchange about Loss of share certificates,,,,04-May-2024 12:23:46,00:00:08
d941cd8cc39a0788852fd1aa844a9301,KOTAKBANK,Financial Result Updates,04052024122730,https://nsearchives.nseindia.com/corporate/1OutcomeofBM_FinancialResults_04052024122730.pdf,Kotak Mahindra Bank Limited,INE237A01010,2024-05-04 12:27:30,2024-05-04 12:27:30,,Banks,,"Kotak Mahindra Bank Limited has submitted to the Exchange, the financial results for the period ended March 31, 2024.",,,,04-May-2024 12:27:34,00:00:04
0e22f22dd5f7151a604ea6cc0ab54c26,SMLISUZU,Loss/Duplicate-Share Certificate-XBRL,04052024122752,https://nsearchives.nseindia.com/corporate/xbrl/SMLISUZU_04052024122752_LOSS_OF_SHARE_1115250_04052024122751_WEB.xml,SML Isuzu Limited,INE294B01019,2024-05-04 12:27:52,2024-05-04 12:27:52,,Automobiles - 4 Wheelers,,SML ISUZU LIMITED has informed the Exchange about Issue of duplicate share certificates/Letter of Confirmation,,,,04-May-2024 12:27:58,00:00:06
e60a068b9af6a63ed7d182250e1097c8,ICICIBANK,Loss of Share Certificates,04052024122802,https://nsearchives.nseindia.com/corporate/ICICIBANK_04052024122802_Letter.pdf,ICICI Bank Limited,INE090A01013,2024-05-04 12:28:02,2024-05-04 12:28:02,,Banks,,Loss of Share Certificate(s),,,,04-May-2024 12:28:07,00:00:05
5be1d9f542e528544029374dbdd00e5b,ICICIBANK,Loss/Duplicate-Share Certificate-XBRL,04052024122847,https://nsearchives.nseindia.com/corporate/xbrl/ICICIBANK_04052024122847_LOSS_OF_SHARE_1115251_04052024122846_WEB.xml,ICICI Bank Limited,INE090A01013,2024-05-04 12:28:47,2024-05-04 12:28:47,,Banks,,ICICI BANK LIMITED has informed the Exchange about Loss of share certificates,,,,04-May-2024 12:28:51,00:00:04
045463f07879d377dd682d222d237204,KOTAKBANK,Dividend,04052024122959,https://nsearchives.nseindia.com/corporate/KOTAKBANK_04052024122959_2OutcomeofBM_Dividend.pdf,Kotak Mahindra Bank Limited,INE237A01010,2024-05-04 12:29:59,2024-05-04 12:29:59,,Banks,,"Kotak Mahindra Bank Limited has informed the Exchange that Board of Directors at its meeting held on May 04, 2024, recommended Final Dividend of Rs. 2 per equity share.",,,,04-May-2024 12:30:04,00:00:05
d260ef563bd596a659c3f8d4b5a3bb12,VAIBHAVGBL,Updates,04052024123027,https://nsearchives.nseindia.com/corporate/VAIBHAVGBL_04052024123028_DisclosureofGSTfinepenalty.pdf,Vaibhav Global Limited,INE884A01019,2024-05-04 12:30:27,2024-05-04 12:30:27,,Gems Jewellery And Watches,,"Vaibhav Global Limited has informed the Exchange regarding 'Intimation under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015'.",,,,04-May-2024 12:30:32,00:00:05
21e7df6a714347d93926d2a6561e29e3,WINDLAS,Updates,04052024123411,https://nsearchives.nseindia.com/corporate/WINDLAS_04052024123411_20240504_Stat_Auditors.pdf,Windlas Biotech Limited,INE0H5O01029,2024-05-04 12:34:11,2024-05-04 12:34:11,,,,Windlas Biotech Limited has informed the Exchange regarding 'conversion of status of Firm of Statutory Auditors into LLP'.,,,,04-May-2024 12:34:15,00:00:04
