hash,symbol,company,purpose,bm_desc,date
56d0c10f8a08a1a7dbd21f9df0ac598d,REDINGTON,Redington Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-19
d1417a3942614a4c6451b57b40c3923a,SRD,Shankar Lal Rampal Dye-Chem Limited,Financial Results/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025 and other business matters",2025-05-19
eb75c091958d53b196e41a3f5b3693c1,KARURVYSYA,Karur Vysya Bank Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-19
1f10001bee7262513afe3bc755eb369d,RBA,Restaurant Brands Asia Limited,Financial Results,"Board Meeting intimation for consideration and approval of the audited standalone and consolidated financial results of the Company for the quarter and financial year ended on March 31, 2025",2025-05-19
8cdaba91849707c83fbfde527b320428,JWL,Jupiter Wagons Limited,Financial Results/Other business matters,"JWL : 19-May-2025 :  The Company has informed the Exchange that a Board meeting to be held on May 15, 2025 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on May 19, 2025, To consider and approve the financial results for the period ended March 31, 2025 and other business matters",2025-05-19
01c661e23eeae5fd92223385a7b7b209,ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-19
de8a326d1bbab360bb54c29c0d0f0213,ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-19
dbca73039ca33cd27de743b0cb56ebff,DOMS,DOMS Industries Limited,Financial Results/Dividend,"To consider and approve Audited Financial Results (Standalone and Consolidated) for the quarter and year ended March 31, 2025 and; 2. Recommend final dividend, if any, for the financial year 2024-25, subject to approval of Shareholders of the Company at ensuing Annual General Meeting of the Company.",2025-05-19
83be4555182244f83e39cb07026d5bcd,DODLA,Dodla Dairy Limited,Financial Results/Dividend/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025, dividend and other business matters",2025-05-19
809d852ff015c33169d606ab0055c3a5,DLF,DLF Limited,Financial Results/Dividend,"DLF LIMITED has informed the Exchange about Board Meeting scheduled to be held on 19th May 2025 to consider and approve, inter-alia, the Audited Financial Results for the Quarter and Financial Year (FY) ended 31st March 2025 and recommendation of Dividend, if any, for FY 2024-25",2025-05-19
2db5a2964fd18a8b42ae796531a971fa,DIAMINESQ,Diamines & Chemicals Limited,Financial Results/Dividend/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025, recommendation of final dividend on equity shares for the year ended March 31, 2025, if any, to transact other businesses as may be required with the permission of the Chairperson",2025-05-19
dc942a0da9ef67c8f6888be932cb420f,ERIS,Eris Lifesciences Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-19
c657f124634df1c57a3f8f8a23d860df,CARYSIL,CARYSIL LIMITED,Financial Results/Dividend,Carysil Limited has intimated the exchange about board meeting to be held on 19th May 2025.,2025-05-19
03b5125124b917c756e2b8db2b9f8fdf,BINANIIND,Binani Industries Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-19
947793d6538a6519817dd78fc8c3ab5a,BHARATWIRE,Bharat Wire Ropes Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-19
c36b06ddccebf25f4e35dd95c9a03807,BEL,Bharat Electronics Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and recommendation of final dividend.",2025-05-19
d767712f126a1a1c254a82f7d076c8bd,ALKALI,Alkali Metals Limited,Financial Results/Dividend/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025, dividend and other business matters",2025-05-19
ffe6b8ea28d23d5f50fc325309d388cd,ACMESOLAR,Acme Solar Holdings Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-19
754c55708e0d21a043c6be310634d42f,KAPSTON,Kapston Services Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-19
8c4327827d5086dadbf96b9c2079978e,BOROLTD,Borosil Limited,Financial Results/Fund Raising,"To consider and approve the financial results for the period ended March 31, 2025 and to seek shareholders  approval (through an enabling resolution) for raising of funds through various modes",2025-05-19
5de70516452aa43f5c876b688d1350f9,EVERESTIND,Everest Industries Limited,Financial Results/Dividend,"To consider and approve the Audited (Standalone and Consolidated) Financial Results of the Company for the quarter and year ended March 31, 2025 and to recommend final dividend, if any, on the equity shares of the Company for the financial year ended March 31, 2025.Further, in continuation to our earlier intimation dated March 21, 2025 regarding closure of Trading Window, we wish to inform you that the Trading Window for dealing in the shares of the Company shall remain closed from April 1, 2025 to May 21, 2025 (both days inclusive).",2025-05-19
310b3f03ab388776b21b4f4f580a49f7,CMSINFO,CMS Info Systems Limited,Financial Results/Dividend,"The Company wishes to inform that the meeting of the Board of Directors of the Company is scheduled on 19/05/2025, inter alia, to consider and approve 1. Audited Financial Results (Standalone and Consolidated) for the quarter and financial year ended March 31, 2025 2. consider and recommend/declare dividend, if any, on the equity shares of the Company",2025-05-19
88a4000cb99732f00367edf3cfd64390,FOODSIN,Foods & Inns Limited,Financial Results/Dividend/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025, dividend and other business matters",2025-05-19
dab2f61e32b5c9b36fa4bd5ac708d986,JKPAPER,JK Paper Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-19
2491f1ca3e80184a119c808f50c51b8a,FMNL,Future Market Networks Limited,Financial Results/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025 and other business matters",2025-05-19
827260a2bc7e0d00b65ffd4aa10746ff,JAYSREETEA,Jayshree Tea & Industries Limited,Financial Results/Dividend/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025, dividend and other business matters",2025-05-19
774f84344a7009b59bfbfa28a14e1aff,IRB,IRB Infrastructure Developers Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-19
8f7a179f51df6121a27ee75f5c911ae2,INNOVACAP,Innova Captab Limited,Financial Results/Other business matters,"To consider and approve the audited financial results for the quarter and year ended March 31, 2025 and other business matters",2025-05-19
b1189a460e0a395f003bb9b0ce8e0e93,IGPL,IG Petrochemicals Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and recommend dividend",2025-05-19
e3dce5e03acdbcf5e1b0c6442fe679ea,HNDFDS,Hindustan Foods Limited,Financial Results/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025 and other business matters",2025-05-19
c44d7bd2fd8cf916f75a081899224de2,HMVL,Hindustan Media Ventures Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and recommendation of dividend for FY 2024-25.",2025-05-19
1fd414d9e824496868ceaa6cc5d07fc3,HONDAPOWER,Honda India Power Products Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-19
4b7926480b90598889b94fc667d9c28e,HLEGLAS,HLE Glascoat Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-19
ad60d06f282e91d3f5bab28aabb209fc,HEG,HEG Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-19
315228e6bc1a744c643cbefa19d51cd2,GUJGASLTD,Gujarat Gas Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-19
dec63ee795e1a01c2212b326b347f479,GMRP&UI,GMR Power and Urban Infra Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-19
478eda858909ac0ce4eba9357b48f716,GLOBUSSPR,Globus Spirits Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-19
93aae8cbd043250492254fcc908404f7,GEEKAYWIRE,Geekay Wires Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-19
5e066733a669e442e781d73f9e85f8f2,PATINTLOG,Patel Integrated Logistics Limited,Financial Results/Dividend/Other business matters,"This is to inform you that a Meeting of the Board of Directors of the Company for the quarter and year ended 31st March, 2025 will be held on Tuesday, 20th May, 2025 inter alia 1. To consider and adopt the audited financial results along with audit report of the Company for the quarter and year ended on 31st March, 2025.2. To consider recommendation of the final dividend for the year ended 31st March, 2025, if any.3. Any other matter with permission of Chairman of the meeting.",2025-05-20
6a9b0f7d448830c55bf8884ffe620509,RADIOCITY,Music Broadcast Limited,Financial Results,"To consider and approve the Audited Financial Results for the financial year ended March 31, 2025",2025-05-20
5643902dd8ad2ddc548e8c5571674c9a,RACE,Race Eco Chain Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-20
d7f7e6056a3908299ed7a3c67c336d43,RELIGARE,Religare Enterprises Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-20
5330799d7805a945b0f5f4ed66f86e27,PODDARMENT,Poddar Pigments Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-20
65be2d39ed3c89c1f900c3c24a673f37,PGIL,Pearl Global Industries Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-20
0e115650e0244368f9d055638e729774,RAJTV,Raj Television Network Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-20
91f0d833bcf244c8ffb11eda9df27228,ONMOBILE,OnMobile Global Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-20
814db54c558617f10e78aa5584f36cf8,MANAKALUCO,Manaksia Aluminium Company Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-20
dd3fb6516a901565625ef4bd2132813a,NHPC,NHPC Limited,Financial Results/Dividend,"In compliance to Regulation 29 of SEBI (Listing Obligations and DisclosureRequirements) Regulations, 2015, it is to inform that a meeting of Board of Directors of theCompany is scheduled to be held on Tuesday, 20th May, 2025 to inter-alia consider auditedFinancial Results (Standalone and Consolidated) of the Company for the quarter and yearended on 31st March, 2025. The Board of Directors in the aforesaid meeting may alsoconsider to recommend final dividend for the FY 2024-25, if any, on equity share capital ofthe Company.",2025-05-20
3283bb305fa9c3b03f97454cb7e934a6,MITCON,MITCON Consultancy & Engineering Services Limited,Financial Results/Fund Raising,"To consider and approve the financial results for the period ended March 31, 2025 and Fund Raising",2025-05-20
3d5a21ee2a7457ea3f111fafcbc4af07,MIRCELECTR,MIRC Electronics Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-20
55e12cbc8bc7b01da65b12bd4f8c76c8,MAXHEALTH,Max Healthcare Institute Limited,Financial Results/Dividend,"To consider and approve the financial results for the quarter and financial year ended March 31, 2025 and dividend",2025-05-20
981eff85234133fe11060e19bb30426f,MANINFRA,Man Infraconstruction Limited,Financial Results/Dividend,"To consider and approve the Audited Financial Results for the period ended March 31, 2025 and first Interim Dividend for F.Y. 2025-26",2025-05-20
5cf7d498b3e49bb3bbaf53d3335dd08a,LXCHEM,Laxmi Organic Industries Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend, Pursuant to Regulation 29 of the Securities and Exchange Board of India (Listing Obligation and Disclosure Requirements) Regulations, 2015 ( SEBI LODR ), this is to inform you that a meeting of Board of Directors of the Company is scheduled to be held on Tuesday, May 20, 2025 to inter-alia consider and approve the following matters: 1. Consider and approve the standalone and consolidated audited financial results of the Company for the quarter/ year ended March 31, 2025;2. Recommend the dividend on equity shares of the Company.We request you to take the above on record.",2025-05-20
77546195e5044c8b90fa05e512c270d5,SANGHVIMOV,Sanghvi Movers Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-20
9eb561dc1f70e9acd43cd44aed8bc25b,LIKHITHA,Likhitha Infrastructure Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-20
65c84fe92ad5ef72c681835c8272b284,NIPPOBATRY,Indo-National Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-20
95da5d931fede224c3554f0db0186ffa,SBIN,State Bank of India,Fund Raising,To consider Fund Raising,2025-05-20
c70ac6dd1cb790cc2f483f0b9408e213,WHEELS,Wheels India Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and final dividend for the year ended 31.3.2025",2025-05-20
55583567064901216b6faae699ea6712,SHREYANIND,Shreyans Industries Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-20
ab1da3c3dd4de50fe2b855cf195e81c8,KUANTUM,Kuantum Papers Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and recommendation of dividend, if any",2025-05-20
16bc6dd5e932f50039998244cdccf51d,ZYDUSLIFE,Zydus Lifesciences Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-20
fd17e61a8f03f1ab6cb91a88f960f030,ZIMLAB,Zim Laboratories Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-20
efbd1241c2eb0b06149db65b09c8a695,WHIRLPOOL,Whirlpool of India Limited,Financial Results/Dividend,"To consider and approve the audited standalone and consolidated financial results and statements for the quarter and year ended 31st March, 2025.",2025-05-20
f360231457ed2cba8e551daaaad03c7f,WELINV,Welspun Investments and Commercials Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-20
1f22e77c9f511248247c61ebf6b0aab6,VALIANTLAB,Valiant Laboratories Limited,Financial Results/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025 and other business matters",2025-05-20
0acc9f95a4c815475df158c9cecb4da4,UNITDSPR,United Spirits Limited,Financial Results/Dividend,"To consider and approve the audited financial results and recommend final dividend, if any, for the financial year ended 31st March 2025.",2025-05-20
d63576065ac52e7ca593d461adc403d8,UGROCAP,Ugro Capital Limited,Fund Raising/Other business matters,"Prior intimation of board meeting scheduled to be held on Tuesday, May 20, 2025",2025-05-20
1dcc98cdccabc2056263b17032015e2f,SEQUENT,Sequent Scientific Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-20
2de6560cea549dd3b20596e813f73b79,UDS,Updater Services Limited,Financial Results,Board Meeting Intimation for Inter-Alia to Consider and Approve the Audited Financial Results of The Company for The Quarter and Financial Year Ended 31st March 2025,2025-05-20
fdd519884f98c4785bdd6ace67d51ed5,TORNTPHARM,Torrent Pharmaceuticals Limited,Financial Results/Dividend/Fund Raising/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025, dividend, Fund Raising and other business matters",2025-05-20
02bd6e56cea2e1da9bd90de3d213a10e,THEMISMED,Themis Medicare Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-20
d8d137e9b7b59188a48694c2ae36e629,SUYOG,Suyog Telematics Limited,Financial Results/Dividend/Other business matters,"To consider and approve the financial results for the Quarter and Year ended March 31, 2025; Recommending the Final Dividend if any for the Financial Year ended March 31, 2025; Considering any other business matters.",2025-05-20
7a74d97a68704a23d350e94e2f8cb151,SURANAT&P,Surana Telecom and Power Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-20
2f1a582817f21712e958f37a2243888c,SRM,SRM Contractors Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-20
4733a099bc3d65aef6b1273aabe4790c,SOLARINDS,Solar Industries India Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and final dividend for the year ended March 31, 2025.",2025-05-20
a09a8008cf9da6200bce6e5d1455a28e,SINCLAIR,Sinclairs Hotels Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-20
b2bb14c0977ce6049bd22bfe83cbae82,SIL,Standard Industries Limited,Financial Results,"Intimation of Board Meeting for approval of Audited Financial Results for the Financial Year ended 31st March, 2025",2025-05-20
4f2b48f08a75684c1d06d7ead8cbb1ae,TOUCHWOOD,Touchwood Entertainment Limited,Financial Results/Dividend/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025, dividend and other business matters",2025-05-20
a1590d1786dc4e0f443c087d19ed21e0,KRIDHANINF,Kridhan Infra Limited,Fund Raising,To consider Fund Raising,2025-05-20
b4d0a162d31861d95e871e0639d87393,GOKULAGRO,Gokul Agro Resources Limited,Financial Results/Other business matters,"To consider and approve the audited financial results (Standalone and Consolidated) for the period ended March 31, 2025 and other business matters",2025-05-20
2151ba989053f13c6b6afb946141f5c0,KIRLOSIND,Kirloskar Industries Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-20
9528453be1324e741dd348011fbdb8f7,EIHOTEL,EIH Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-20
c1b6584f07f24016f405db0c098dedf1,EIFFL,Euro India Fresh Foods Limited,Financial Results/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025 and other business matters",2025-05-20
3607bc15a8a9ac7809bc885fec016c23,DVL,Dhunseri Ventures Limited,Financial Results/Dividend,"To consider and approve the Audited Financial Results for the year ended March 31, 2025 and dividend, if any, for the FY 2024-25.",2025-05-20
9b106c20650a046ba7f56963b24f214e,DREDGECORP,Dredging Corporation of India Limited,Financial Results,"DREDGECORP : 20-May-2025 :  The Company has informed the Exchange that a Board meeting to be held on May 14, 2025 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on May 20, 2025,  To consider and approve the financial results for the period ended March 31, 2025",2025-05-20
1577367e62ca848bf49f11b1f9990ab9,DPSCLTD,DPSC Limited,Financial Results/Dividend/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025, dividend and other business matters",2025-05-20
d029d02db43d96a77e531c7f52af79bf,DIXON,Dixon Technologies (India) Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-20
ffd3351df388acf7e95969447e79a34c,DHUNINV,Dhunseri Investments Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-20
6e0212a0a45644581d8057cf5028e41e,COSMOFIRST,COSMO FIRST LIMITED,Financial Results/Dividend,"COSMO FIRST LIMITED has informed the Exchange about Board Meeting to be held on 20-May-2025 to consider and approve the Audited Financial results of the Company for the quarter and year ended March 31, 2025 and Dividend",2025-05-20
bee97ba51dd86430a6ad6fc914f15003,BLBLIMITED,BLB Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-20
9c9a3987a416341d85c7cc3590f0c8fb,BHAGYANGR,Bhagyanagar India Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-05-20
fb861b942c7ce4a8cd949f50b1962f3d,BANSALWIRE,Bansal Wire Industries Limited,Financial Results,"Bansal Wire Industries Limited has informed the exchange that board meeting of the company is scheduled as on May 20, 2025 to consider and approve the Audited Financial Results (Standalone and Consolidated) of the Company for the quarter and financial year ended on 31st March, 2025.",2025-05-20
2410e4017f47fbfa956808cf7e6b7487,AUTOAXLES,Automotive Axles Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-20
ec7f516537106085266dd02c8ef87202,ASTRAMICRO,Astra Microwave Products Limited,Fund Raising,To consider Fund Raising,2025-05-20
44acb9db9cc7e0cd8f9641a76ef5be4c,ASTERDM,Aster DM Healthcare Limited,Financial Results/Dividend,"To consider and approve the standalone and consolidated financial results for the quarter and year ended March 31, 2025 and dividend",2025-05-20
cd4185b66f06bf04bc4ba3fb722cca23,KREBSBIO,Krebs Biochemicals and Industries Limited,Financial Results/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025 and other business matters",2025-05-20
0e897b1209004993fc3ae8e9b7275125,63MOONS,63 moons technologies limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-05-20
e4ed804184de3b592f1e11943acac109,ELECTHERM,Electrotherm (India) Limited,Financial Results,"To consider and approve the Audited Standalone and Consolidated Financial Results for the quarter and year ended on March 31, 2025",2025-05-20
