hash,symbol,desc,dt,attchmntFile,sm_name,sm_isin,an_dt,sort_date,seq_id,smIndustry,orgid,attchmntText,bflag,old_new,csvName,exchdisstime,difference,fileSize
8f630ccbd2fafc2a29cadbe5e83194c2,ASAL,Trading Window,23062025104344,https://nsearchives.nseindia.com/corporate/ASAL_23062025104325_TWC.pdf,Automotive Stampings and Assemblies Limited,INE900C01027,2025-06-23 10:43:44,2025-06-23 10:43:44,,Auto Ancillaries,,"Automotive Stampings and Assemblies Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",,,,23-Jun-2025 10:43:46,00:00:02,3.12 MB
7c4c43bb255ec46b4cd7a2bb94b5bf03,ASAL,Trading Window-XBRL,23062025104537,https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1469472_23062025104536_WEB.xml,Automotive Stampings and Assemblies Limited,INE900C01027,2025-06-23 10:45:37,2025-06-23 10:45:37,,Auto Ancillaries,,Automotive Stampings and Assemblies Limited has informed the Exchange about Closure of Trading Window,,,,23-Jun-2025 10:45:38,00:00:01,2 KB
91beaa430a0afcfb195559df296227ee,WSI,Board Meeting Intimation,23062025104742,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_58257_1469474_23062025104741_WEB.xml,W S Industries (I) Limited,INE100D01014,2025-06-23 10:47:42,2025-06-23 10:47:42,,Electrical Equipment,,W S INDUSTRIES (I) LIMITED has informed the Exchange about Board Meeting to be held on 27-Jun-2025 to consider and approve Fund raising/Other business.,,,,23-Jun-2025 10:47:43,00:00:01,2 KB
bfaf249b6a8cc98266720c34608e3ac8,OSWALPUMPS,Updates,23062025104928,https://nsearchives.nseindia.com/corporate/OSWALPUMPS_23062025104901_SELetterReg305OPL21062025.pdf,Oswal Pumps Limited,INE0BYP01024,2025-06-23 10:49:28,2025-06-23 10:49:28,,,,"Oswal Pumps Limited has informed the Exchange regarding 'Intimation under Regulation 30(5) of the SEBI (Listing Obligations and DisclosureRequirements Regulations), 2015 ( Listing Regulations )'.",,,,23-Jun-2025 10:49:29,00:00:01,585 KB
1e0d029db51c9eddb6d307a7b0e8389f,ABLBL,Press Release,23062025104955,https://nsearchives.nseindia.com/corporate/ABLBL_23062025104943_SEPressrelease.pdf,Aditya Birla Lifestyle Brands Limited,INE14LE01019,2025-06-23 10:49:55,2025-06-23 10:49:55,,,,"Aditya Birla Lifestyle Brands Limited has informed the Exchange regarding a press release dated Jun 23, 2025, titled ""Aditya Birla Lifestyle Brands Limited debuts on the bourses"".",,,,23-Jun-2025 10:49:56,00:00:01,280 KB
fede9f14ba09dc30aed2badee953ee0d,OSWALPUMPS,Updates,23062025105135,https://nsearchives.nseindia.com/corporate/OSWALPUMPS_23062025105119_IntimationReg82ofPITReg2015.pdf,Oswal Pumps Limited,INE0BYP01024,2025-06-23 10:51:35,2025-06-23 10:51:35,,,,"Oswal Pumps Limited has informed the Exchange regarding 'Intimation under Regulation 8(2) of the SEBI (Prohibition of Insider Trading) Regulations,2015'.",,,,23-Jun-2025 10:51:36,00:00:01,1.24 MB
d352bee0b452375c022603414aa11bfe,PANAMAPET,Trading Window-XBRL,23062025105949,https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1469475_23062025105949_WEB.xml,Panama Petrochem Limited,INE305C01011,2025-06-23 10:59:49,2025-06-23 10:59:49,,Lubricants,,Panama Petrochem Limited has informed the Exchange about Closure of Trading Window,,,,23-Jun-2025 10:59:50,00:00:01,2 KB
19d54b97740942422f79505d0a2b0033,PANAMAPET,Trading Window,23062025110120,https://nsearchives.nseindia.com/corporate/PANAMAPET_23062025110103_twc-pdf.pdf,Panama Petrochem Limited,INE305C01011,2025-06-23 11:01:20,2025-06-23 11:01:20,,Lubricants,,"Panama Petrochem Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",,,,23-Jun-2025 11:01:22,00:00:02,560 KB
02bb87d65507b62dd6a3423d9571ce63,VIPCLOTHNG,Press Release,23062025110924,https://nsearchives.nseindia.com/corporate/VIPCLOTHNG_23062025110912_CoverLetterFrenchieXInKerala.pdf,VIP Clothing Limited,INE450G01024,2025-06-23 11:09:24,2025-06-23 11:09:24,,,,"VIP Clothing Limited has informed the Exchange regarding a press release titled ""Company announcing Frenchie X product launch in Kerala''s market."".",,,,23-Jun-2025 11:09:25,00:00:01,401 KB
82b6107a9e39efb3d666a3475533d05f,SHIRPUR-G,Corporate Insolvency Resolution Process,23062025111119,https://nsearchives.nseindia.com/corporate/SHIRPUR-G_23062025111044_Shirpur_-_Outcome_-_16th_COC.pdf,Shirpur Gold Refinery Limited,INE196B01016,2025-06-23 11:11:19,2025-06-23 11:11:19,,Trading,,Shirpur Gold Refinery Limited has informed the Exchange about the outcome of the 16th COC meeting of Committee of Creditors,,,,23-Jun-2025 11:11:20,00:00:01,168 KB
1e829948456717e402a39abf1e025d41,WAAREERTL,General Updates,23062025111147,https://nsearchives.nseindia.com/corporate/WAAREERTL_23062025111043_Intimation_of_MoU.pdf,Waaree Renewable Technologies Limited,INE299N01021,2025-06-23 11:11:47,2025-06-23 11:11:47,,,,Waaree Renewable Technologies Limited has informed the Exchange about General Updates,,,,23-Jun-2025 11:11:48,00:00:01,710 KB
da797ba3180b877b10524250178daddb,KCP,Trading Window,23062025111156,https://nsearchives.nseindia.com/corporate/radhika_23062025110856_SE_Closureoftradingjune25.pdf,KCP Limited,INE805C01010,2025-06-23 11:11:56,2025-06-23 11:11:56,,Cement And Cement Products,,"KCP Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",,,,23-Jun-2025 11:11:57,00:00:01,329 KB
f99043015ec01b41284714983a1502e2,NIPPOBATRY,Clarification - Financial Results,23062025111309,-,Indo-National Limited,INE567A01010,2025-06-23 11:13:09,2025-06-23 11:13:09,,Electrical Equipment,,"The Exchange has sought clarification from Indo-National Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Financial results submitted in XBRL with discrepancies The response of the Company is awaited.",,,,23-Jun-2025 11:13:10,00:00:01,-
08c3785c64b206ecd7315aa52855315e,SURYAROSNI,Trading Window,23062025112108,https://nsearchives.nseindia.com/corporate/SURYAROSNI_23062025112025_Intimation_Closure_Trading_Window_23062025.pdf,Surya Roshni Limited,INE335A01012,2025-06-23 11:21:08,2025-06-23 11:21:08,,Steel And Steel Products,,"Surya Roshni Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",,,,23-Jun-2025 11:21:09,00:00:01,258 KB
2d29fc3cdcc6fe5f76fefaf313e3cd76,VINYLINDIA,Trading Window-XBRL,23062025112435,https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1469488_23062025112434_WEB.xml,Vinyl Chemicals (India) Limited,INE250B01029,2025-06-23 11:24:35,2025-06-23 11:24:35,,Trading,,Vinyl Chemicals (India) Limited has informed the Exchange about Closure of Trading Window,,,,23-Jun-2025 11:24:35,00:00:00,2 KB
1c75bf373dd3282484cae69f8f0e5e62,KCP,Trading Window-XBRL,23062025112839,https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1469489_23062025112838_WEB.xml,KCP Limited,INE805C01010,2025-06-23 11:28:39,2025-06-23 11:28:39,,Cement And Cement Products,,KCP LIMITED has informed the Exchange about Closure of Trading Window,,,,23-Jun-2025 11:28:40,00:00:01,2 KB
f4c9394199ab551d248c5fdccc3a75f5,AJMERA,Analysts/Institutional Investor Meet/Con. Call Updates,23062025113053,https://nsearchives.nseindia.com/corporate/AJMERA_23062025113034_Intimation-sd.pdf,Ajmera Realty & Infra India Limited,INE298G01027,2025-06-23 11:30:53,2025-06-23 11:30:53,,Construction,,"An update on the analyst / Institution Investor Meeting under the Listing Regulation which was scheduled on June 25, 2025 is as enclosed",,,,23-Jun-2025 11:30:53,00:00:00,298 KB
f9147a87804b4b3788bb5e160c9944b4,VINYLINDIA,Trading Window,23062025113152,https://nsearchives.nseindia.com/corporate/VINYLINDIA_23062025113138_SE_Letter_Final_certified.pdf,Vinyl Chemicals (India) Limited,INE250B01029,2025-06-23 11:31:52,2025-06-23 11:31:52,,Trading,,"Vinyl Chemicals (India) Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",,,,23-Jun-2025 11:31:53,00:00:01,161 KB
d3720c7a0f344d8ade8e19b529e39912,PRICOLLTD,Analysts/Institutional Investor Meet/Con. Call Updates,23062025113456,https://nsearchives.nseindia.com/corporate/PRICOLLTD_23062025113429_seinvestorcallintimationjun2025.pdf,Pricol Limited,INE726V01018,2025-06-23 11:34:56,2025-06-23 11:34:56,,,,Pricol Limited has informed the Exchange about Schedule of meet,,,,23-Jun-2025 11:34:57,00:00:01,279 KB
ba4a37e20205762ec3ef54a10e59f2af,COFORGE,Press Release,23062025113850,https://nsearchives.nseindia.com/corporate/COFORGE_23062025113813_Press_Release_Intimation.pdf,Coforge Limited,INE591G01017,2025-06-23 11:38:50,2025-06-23 11:38:50,,,,"Coforge Limited has informed the Exchange regarding a press release dated Jun 23, 2025, titled ""Coforge collaborates with Duke s Fuqua School of Business to accelerate Gen AI adoption across industries  "".",,,,23-Jun-2025 11:38:51,00:00:01,976 KB
2fb432ff59b679182ee57623fc47f493,MOTILALOFS,Copy of Newspaper Publication,23062025113959,https://nsearchives.nseindia.com/corporate/MOTILALOFS_23062025113747_Cover_letter_with_newspaper.pdf,Motilal Oswal Financial Services Limited,INE338I01027,2025-06-23 11:39:59,2025-06-23 11:39:59,,Finance,,Motilal Oswal Financial Services Limited has informed the Exchange about Copy of Newspaper Publication,,,,23-Jun-2025 11:40:00,00:00:01,6.05 MB
b4583b165fc988d564626d9bd815aaaf,CHEVIOT,Trading Window,23062025114059,https://nsearchives.nseindia.com/corporate/CHEVIOT_23062025114050_TW.pdf,Cheviot Company Limited,INE974B01016,2025-06-23 11:40:59,2025-06-23 11:40:59,,,,"Cheviot Company Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",,,,23-Jun-2025 11:41:00,00:00:01,472 KB
cf0d7e54e61e6ee9786336886cfc7421,NDRAUTO,Analysts/Institutional Investor Meet/Con. Call Updates,23062025114135,https://nsearchives.nseindia.com/corporate/NDRAUTO_23062025114115_Outcome23062025.pdf,Ndr Auto Components Limited,INE07OG01012,2025-06-23 11:41:35,2025-06-23 11:41:35,,,,"Ndr Auto Components Limited has informed the Exchange about Outcomes of the Analyst/Investor Meeting held on June 23, 2025",,,,23-Jun-2025 11:41:36,00:00:01,318 KB
a33463be24da353636f7db6ad0e90ceb,GHCL,Record Date,23062025114158,https://nsearchives.nseindia.com/corporate/GHCL_23062025114127_GHCL_Intimation_Record_Date_Dividend_42nd_AGM_2025.pdf,GHCL Limited,INE539A01019,2025-06-23 11:41:58,2025-06-23 11:41:58,,Chemicals - Inorganic,,GHCL Limited has informed the Exchange that Record date for the purpose of Dividend  is 17-Jul-2025.,,,,23-Jun-2025 11:41:59,00:00:01,540 KB
f40f721140dafb91b6c4fbbd6e155a55,CHEVIOT,Trading Window-XBRL,23062025114158,https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1469492_23062025114157_WEB.xml,Cheviot Company Limited,INE974B01016,2025-06-23 11:41:58,2025-06-23 11:41:58,,,,CHEVIOT COMPANY LIMITED has informed the Exchange about Closure of Trading Window,,,,23-Jun-2025 11:41:59,00:00:01,2 KB
8f8cb4ebd82d57d4dd46a3af14a8d17f,IEX,Trading Window,23062025114316,https://nsearchives.nseindia.com/corporate/IEX_23062025114304_Signed_Intimation_Trading_window_Closure_Q1_FY25_26.pdf,Indian Energy Exchange Limited,INE022Q01012,2025-06-23 11:43:16,2025-06-23 11:43:16,,,,"Indian Energy Exchange Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",,,,23-Jun-2025 11:43:17,00:00:01,306 KB
e0721f35fabff15f72fac8ed6502ef42,JPASSOCIAT,Corporate Insolvency Resolution Process,23062025114425,https://nsearchives.nseindia.com/corporate/JPASSOCIAT_23062025113359_Intimation_Fifteenth_Meeting_of_Committee_of_Creditors.pdf,Jaiprakash Associates Limited,INE455F01025,2025-06-23 11:44:25,2025-06-23 11:44:25,,Construction,,Jaiprakash Associates Limited has informed the Exchange about Corporate Insolvency Resolution Process-Intimation for Convening of 15th meeting of CoC.,,,,23-Jun-2025 11:44:26,00:00:01,264 KB
91f008c6c7a7a6efb45d5cea10c978eb,IEX,Trading Window-XBRL,23062025114550,https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1469494_23062025114550_WEB.xml,Indian Energy Exchange Limited,INE022Q01012,2025-06-23 11:45:50,2025-06-23 11:45:50,,,,Indian Energy Exchange Limited has informed the Exchange about Closure of Trading Window,,,,23-Jun-2025 11:45:51,00:00:01,2 KB
520eaec8ddab18da1e2fb7931075010e,IDEAFORGE,Awarding of order(s)/contract(s),23062025114909,https://nsearchives.nseindia.com/corporate/IDEAFORGE_23062025114858_Intimation_Reg_30_23062025.pdf,Ideaforge Technology Limited,INE349Y01013,2025-06-23 11:49:09,2025-06-23 11:49:09,,,,Ideaforge Technology Limited has informed the Exchange about Awarding of order(s)/contract(s),,,,23-Jun-2025 11:49:10,00:00:01,733 KB
f82b3827259d058dc15d5a826cd31b32,JPASSOCIAT,Corporate Insolvency Resolution Process-XBRL,23062025115139,https://nsearchives.nseindia.com/corporate/xbrl/CIRP_1469497_23062025115139_WEB.xml,Jaiprakash Associates Limited,INE455F01025,2025-06-23 11:51:39,2025-06-23 11:51:39,,Construction,,JAIPRAKASH ASSOCIATES LIMITED has informed the Exchange about Corporate Insolvency Resolution Process for the event related to Prior or Post-facto intimation of the meetings of Committee of Creditors,,,,23-Jun-2025 11:51:40,00:00:01,5 KB
e7aca4612b32680af344e532b50c5211,VIPCLOTHNG,Press Release (Revised),23062025115156,https://nsearchives.nseindia.com/corporate/VIPCLOTHNG_23062025115145_CoverLetterRevisedFrenchieXInKerelaSigned.pdf,VIP Clothing Limited,INE450G01024,2025-06-23 11:51:56,2025-06-23 11:51:56,,,,"VIP Clothing Limited has informed the Exchange regarding ""Submission of Revised Press Release dated June 23, 2025 - Frenchie X product launch in Kerala market"".",,,,23-Jun-2025 11:51:58,00:00:02,366 KB
3ac0c52f3c2f83a5f49a0cdd9f248dd7,HINDUNILVR,Updates,23062025115455,https://nsearchives.nseindia.com/corporate/HINDUNILVR_23062025115445_PerformanceHighlightsFY202425signed.pdf,Hindustan Unilever Limited,INE030A01027,2025-06-23 11:54:55,2025-06-23 11:54:55,,Diversified,,Performance Highlights for Financial Year 2024-25,,,,23-Jun-2025 11:54:55,00:00:00,222 KB
a4d333b45ee2ca3d91bc4bd0c04049ad,CAPITALSFB,Trading Window-XBRL,23062025115701,https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1469503_23062025115700_WEB.xml,Capital Small Finance Bank Limited,INE646H01017,2025-06-23 11:57:01,2025-06-23 11:57:01,,,,Capital Small Finance Bank Limited has informed the Exchange about Closure of Trading Window,,,,23-Jun-2025 11:57:02,00:00:01,2 KB
0ae785aaf0185ebcc788e13d5f849968,CAPITALSFB,Trading Window,23062025115800,https://nsearchives.nseindia.com/corporate/CAPITALSFB_23062025115754_TradingWindowClosureJune2025signed.pdf,Capital Small Finance Bank Limited,INE646H01017,2025-06-23 11:58:00,2025-06-23 11:58:00,,,,"Capital Small Finance Bank Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",,,,23-Jun-2025 11:58:01,00:00:01,580 KB
8abf6807e77211e1bee22963e31fb06b,SENORES,General Updates,23062025115813,https://nsearchives.nseindia.com/corporate/SENORES_23062025115724_Reg30_UpdateOnAcq_23062025_SPL_Signed.pdf,Senores Pharmaceuticals Limited,INE0RB801010,2025-06-23 11:58:13,2025-06-23 11:58:13,,,,"Senores Pharmaceuticals Limited has informed the Exchange regarding the Update in respect of earlier intimations dated March 11, 2025, March 12, 2025 and April 22, 2025.",,,,23-Jun-2025 11:58:14,00:00:01,943 KB
f5dbbeb7497ebdc016c6022f622b5168,ADANIENT,Press Release,23062025115943,https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_23062025115936_AELIntimationforMediaRelease23062025Final.pdf,Adani Enterprises Limited,INE423A01024,2025-06-23 11:59:43,2025-06-23 11:59:43,,Trading,,"Adani Enterprises Limited has informed the Exchange regarding a press release dated Jun 23, 2025, titled ""Adani Commissions India s First Off-Grid Green Hydrogen Pilot Plant of 5 MW Capacity"".",,,,23-Jun-2025 11:59:44,00:00:01,247 KB
86169d55ff721f98729951f9df3f2079,EQUITASBNK,Copy of Newspaper Publication,23062025120023,https://nsearchives.nseindia.com/corporate/EQUITASBNK_23062025115940_NewspaperPublicationIntimation_signed.pdf,Equitas Small Finance Bank Limited,INE063P01018,2025-06-23 12:00:23,2025-06-23 12:00:23,,,,Equitas Small Finance Bank Limited has informed the Exchange about Copy of Newspaper advertisement for Postal Ballot,,,,23-Jun-2025 12:00:24,00:00:01,1.85 MB
460b6810d4ce7f654c6063c720aa2a98,DIL,Clarification - Financial Results,23062025120118,-,Debock Industries Limited,INE411Y01011,2025-06-23 12:01:18,2025-06-23 12:01:18,,,,"The Exchange has sought clarification from Debock Industries Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Financial results submitted is not as per format prescribed by SEBI -2. Segment details not submitted -3. Financial results not signed by authorized signatory/ies -4. Standalone Reconciliation of profit and loss not submitted -5. The company has not submitted the Statement of Impact of Audit Qualifications in case of modified opinion(s) -6. Standalone auditors report not submitted The response of the Company is awaited.",,,,23-Jun-2025 12:01:19,00:00:01,-
04680ba6bfadfe31082ad76b833b8943,HCLTECH,Updates,23062025120131,https://nsearchives.nseindia.com/corporate/HCLTECH_23062025120115_Release23June2025signed.pdf,HCL Technologies Limited,INE860A01027,2025-06-23 12:01:31,2025-06-23 12:01:31,,Computers - Software,,HCL Technologies Limited has informed the Exchange regarding ' Release - HCLTech recognized as the 2025 Global Alliances AI Partner of the Year by Dell Technologies '.,,,,23-Jun-2025 12:01:33,00:00:02,284 KB
e940b64059ae9dca07deea876bde6145,UNIECOM,Press Release,23062025120154,https://nsearchives.nseindia.com/corporate/UNICOMMERCE_23062025120136_PressReleaseEatBetter.pdf,Unicommerce Esolutions Limited,INE00U401027,2025-06-23 12:01:54,2025-06-23 12:01:54,,,,"Unicommerce Esolutions Limited has informed the Exchange regarding a press release dated Jun 23, 2025, titled ""Eat Better to enhance its Quick Commerce Operations with Unicommerce"".",,,,23-Jun-2025 12:01:55,00:00:01,1.27 MB
ca500c93ffc34fdd36277f8d569f6a38,SHIVAMAUTO,Disclosure under SEBI Takeover Regulations,23062025120523,https://nsearchives.nseindia.com/corporate/team_bbodade_22042025162453_SHIVAMAUTO.pdf,Shivam Autotech Limited,INE637H01016,2025-06-23 12:05:23,2025-06-23 12:05:23,,Auto Ancillaries,,"Shivam Autotech Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",,,,23-Jun-2025 12:05:24,00:00:01,1.67 MB
51c33ba655a9257471362cec161a088e,KREBSBIO,Trading Window,23062025121012,https://nsearchives.nseindia.com/corporate/KREBSBIO_23062025121004_June2025ClosureofTradingWindowsigned.pdf,Krebs Biochemicals and Industries Limited,INE268B01013,2025-06-23 12:10:12,2025-06-23 12:10:12,,-,,"Krebs Biochemicals and Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",,,,23-Jun-2025 12:10:13,00:00:01,171 KB
9e62002b6f1f060f71750a2c6c88bcbb,RSYSTEMS,News Verification,23062025121021,https://nsearchives.nseindia.com/corporate/RSYSTEMS_23062025120950_RSYSTEMS.pdf,R Systems International Limited,INE411H01024,2025-06-23 12:10:21,2025-06-23 12:10:21,,Computers - Software,,The Exchange has sought clarification from R Systems International Limited with respect to recent news item captioned R Systems shares jump 6% on reports of Coforge considering stake acquisition.  The response from the Company is attached.,,,,23-Jun-2025 12:10:22,00:00:01,1.70 MB
3c2b6f47909c6d0235f17042f62ab85c,SKYGOLD,Analysts/Institutional Investor Meet/Con. Call Updates,23062025121042,https://nsearchives.nseindia.com/corporate/SKYGOLD_23062025121027_Intimation.pdf,SKY GOLD AND DIAMONDS LIMITED,INE01IU01018,2025-06-23 12:10:42,2025-06-23 12:10:42,,,,"Pursuant to the provision of Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations 2015, we would like to inform you that the Management of the Company will be interacting with Investors/ Analysts scheduled for Thursday, 26th June 2025.",,,,23-Jun-2025 12:10:43,00:00:01,874 KB
5bd6950651c044d6fcf3d8da6530e83b,KREBSBIO,Trading Window-XBRL,23062025121213,https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1469506_23062025121212_WEB.xml,Krebs Biochemicals and Industries Limited,INE268B01013,2025-06-23 12:12:13,2025-06-23 12:12:13,,-,,Krebs Biochemicals and Industries Limited has informed the Exchange about Closure of Trading Window,,,,23-Jun-2025 12:12:14,00:00:01,2 KB
